Source,Target,Type,Id,Label,timeset,Weight,attack
Axiom,T1190,Undirected,2315,,,1,0
T1015,T1190,Undirected,2316,,,1,0
T1003,T1015,Undirected,2317,,,1,0
T1076,T1003,Undirected,2318,,,1,0
T1001,T1076,Undirected,2319,,,1,0
APT39,T1193,Undirected,2320,,,1,1
APT39,T1192,Undirected,2321,,,1,1
APT39,T1078,Undirected,2322,,,1,1
T1053,T1193,Undirected,2323,,,1,1
T1064,T1192,Undirected,2324,,,1,1
T1204,T1078,Undirected,2325,,,1,1
T1060,T1053,Undirected,2326,,,1,1
T1053,T1064,Undirected,2327,,,1,1
T1023,T1204,Undirected,2328,,,1,1
T1078,T1053,Undirected,2329,,,1,1
T1100,T1064,Undirected,2330,,,1,1
T1023,T1100,Undirected,2333,,,1,1
T1100,T1078,Undirected,2335,,,1,1
T1090,T1053,Undirected,2336,,,1,1
T1064,T1078,Undirected,2337,,,1,1
T1045,T1100,Undirected,2338,,,1,1
T1090,T1003,Undirected,2340,,,1,1
T1064,T1003,Undirected,2341,,,1,1
T1045,T1003,Undirected,2342,,,1,1
T1078,T1003,Undirected,2343,,,1,1
T1046,T1003,Undirected,2344,,,1,1
T1016,T1003,Undirected,2345,,,1,1
T1033,T1003,Undirected,2346,,,1,1
T1046,T1076,Undirected,2347,,,1,1
T1016,T1021,Undirected,2348,,,1,1
T1033,T1076,Undirected,2349,,,1,1
T1076,T1090,Undirected,2350,,,1,1
T1021,T1090,Undirected,2351,,,1,1
T1002,T1090,Undirected,2352,,,1,1
APT33,T1192,Undirected,2353,,,1,2
APT33,T1078,Undirected,2354,,,1,2
T1203,T1192,Undirected,2355,,,1,2
T1086,T1078,Undirected,2356,,,1,2
T1053,T1192,Undirected,2357,,,1,2
T1203,T1060,Undirected,2359,,,1,2
T1086,T1053,Undirected,2360,,,1,2
T1204,T1060,Undirected,2362,,,1,2
T1068,T1060,Undirected,2363,,,1,2
T1480,T1068,Undirected,2364,,,1,2
T1027,T1053,Undirected,2365,,,1,2
T1110,T1480,Undirected,2366,,,1,2
T1003,T1027,Undirected,2367,,,1,2
T1040,T1078,Undirected,2368,,,1,2
T1110,T1040,Undirected,2369,,,1,2
T1003,T1040,Undirected,2370,,,1,2
T1105,T1040,Undirected,2371,,,1,2
T1043,T1105,Undirected,2372,,,1,2
T1132,T1105,Undirected,2373,,,1,2
T1071,T1105,Undirected,2374,,,1,2
T1032,T1105,Undirected,2375,,,1,2
T1065,T1105,Undirected,2376,,,1,2
T1043,T1002,Undirected,2377,,,1,2
T1132,T1048,Undirected,2378,,,1,2
T1105,T1002,Undirected,2379,,,1,2
T1071,T1048,Undirected,2380,,,1,2
T1032,T1002,Undirected,2381,,,1,2
T1065,T1048,Undirected,2382,,,1,2
OilRig,T1133,Undirected,2383,,,1,3
OilRig,T1193,Undirected,2384,,,1,3
OilRig,T1192,Undirected,2385,,,1,3
OilRig,T1194,Undirected,2386,,,1,3
OilRig,T1078,Undirected,2387,,,1,3
T1059,T1133,Undirected,2388,,,1,3
T1223,T1193,Undirected,2389,,,1,3
T1086,T1192,Undirected,2390,,,1,3
T1053,T1194,Undirected,2391,,,1,3
T1204,T1133,Undirected,2393,,,1,3
T1047,T1193,Undirected,2394,,,1,3
T1223,T1108,Undirected,2396,,,1,3
T1047,T1108,Undirected,2401,,,1,3
T1133,T1053,Undirected,2402,,,1,3
T1108,T1078,Undirected,2403,,,1,3
T1053,T1100,Undirected,2404,,,1,3
T1223,T1053,Undirected,2407,,,1,3
T1140,T1078,Undirected,2408,,,1,3
T1107,T1100,Undirected,2409,,,1,3
T1066,T1053,Undirected,2410,,,1,3
T1027,T1078,Undirected,2411,,,1,3
T1108,T1100,Undirected,2412,,,1,3
T1223,T1110,Undirected,2414,,,1,3
T1140,T1003,Undirected,2415,,,1,3
T1107,T1081,Undirected,2416,,,1,3
T1066,T1056,Undirected,2417,,,1,3
T1027,T1110,Undirected,2418,,,1,3
T1108,T1003,Undirected,2419,,,1,3
T1064,T1081,Undirected,2420,,,1,3
T1078,T1056,Undirected,2421,,,1,3
T1087,T1110,Undirected,2422,,,1,3
T1201,T1081,Undirected,2424,,,1,3
T1069,T1056,Undirected,2425,,,1,3
T1057,T1110,Undirected,2426,,,1,3
T1012,T1003,Undirected,2427,,,1,3
T1082,T1081,Undirected,2428,,,1,3
T1016,T1056,Undirected,2429,,,1,3
T1049,T1110,Undirected,2430,,,1,3
T1007,T1081,Undirected,2432,,,1,3
T1087,T1076,Undirected,2433,,,1,3
T1046,T1105,Undirected,2434,,,1,3
T1201,T1021,Undirected,2435,,,1,3
T1069,T1076,Undirected,2436,,,1,3
T1057,T1105,Undirected,2437,,,1,3
T1012,T1021,Undirected,2438,,,1,3
T1082,T1076,Undirected,2439,,,1,3
T1016,T1105,Undirected,2440,,,1,3
T1049,T1021,Undirected,2441,,,1,3
T1007,T1105,Undirected,2443,,,1,3
T1119,T1076,Undirected,2444,,,1,3
T1056,T1105,Undirected,2445,,,1,3
T1113,T1021,Undirected,2446,,,1,3
T1043,T1119,Undirected,2447,,,1,3
T1094,T1056,Undirected,2448,,,1,3
T1008,T1113,Undirected,2449,,,1,3
T1105,T1119,Undirected,2450,,,1,3
T1071,T1056,Undirected,2451,,,1,3
T1032,T1113,Undirected,2452,,,1,3
T1043,T1048,Undirected,2453,,,1,3
T1094,T1048,Undirected,2454,,,1,3
T1008,T1048,Undirected,2455,,,1,3
T1105,T1048,Undirected,2456,,,1,3
T1032,T1048,Undirected,2458,,,1,3
FIN8,T1193,Undirected,2459,,,1,4
FIN8,T1192,Undirected,2460,,,1,4
FIN8,T1078,Undirected,2461,,,1,4
T1059,T1193,Undirected,2462,,,1,4
T1064,T1193,Undirected,2465,,,1,4
T1204,T1192,Undirected,2466,,,1,4
T1047,T1078,Undirected,2467,,,1,4
T1059,T1053,Undirected,2468,,,1,4
T1204,T1053,Undirected,2471,,,1,4
T1068,T1053,Undirected,2473,,,1,4
T1107,T1068,Undirected,2476,,,1,4
T1070,T1053,Undirected,2477,,,1,4
T1112,T1078,Undirected,2478,,,1,4
T1027,T1068,Undirected,2479,,,1,4
T1107,T1003,Undirected,2481,,,1,4
T1070,T1003,Undirected,2482,,,1,4
T1112,T1003,Undirected,2483,,,1,4
T1018,T1003,Undirected,2487,,,1,4
T1063,T1003,Undirected,2488,,,1,4
T1076,T1018,Undirected,2489,,,1,4
T1105,T1063,Undirected,2490,,,1,4
T1077,T1018,Undirected,2491,,,1,4
T1076,T1074,Undirected,2492,,,1,4
T1105,T1074,Undirected,2493,,,1,4
T1077,T1074,Undirected,2494,,,1,4
T1043,T1074,Undirected,2495,,,1,4
T1032,T1074,Undirected,2497,,,1,4
Gorgon,T1193,Undirected,2501,,,1,5
T1106,T1193,Undirected,2503,,,1,5
T1086,T1193,Undirected,2504,,,1,5
T1204,T1193,Undirected,2506,,,1,5
T1059,T1060,Undirected,2507,,,1,5
T1106,T1023,Undirected,2508,,,1,5
T1086,T1060,Undirected,2509,,,1,5
T1064,T1023,Undirected,2510,,,1,5
T1060,T1055,Undirected,2512,,,1,5
T1023,T1055,Undirected,2513,,,1,5
T1140,T1055,Undirected,2514,,,1,5
T1089,T1055,Undirected,2515,,,1,5
T1143,T1055,Undirected,2516,,,1,5
T1112,T1055,Undirected,2517,,,1,5
T1093,T1055,Undirected,2518,,,1,5
T1064,T1055,Undirected,2519,,,1,5
T1140,T1105,Undirected,2520,,,1,5
T1089,T1105,Undirected,2521,,,1,5
T1143,T1105,Undirected,2522,,,1,5
T1112,T1105,Undirected,2523,,,1,5
T1093,T1105,Undirected,2524,,,1,5
T1055,T1105,Undirected,2525,,,1,5
T1064,T1105,Undirected,2526,,,1,5
Rancor,T1193,Undirected,2528,,,1,6
T1218,T1193,Undirected,2532,,,1,6
T1218,T1053,Undirected,2536,,,1,6
T1218,T1105,Undirected,2541,,,1,6
Naikon,T1063,Undirected,2543,,,1,7
Naikon,T1016,Undirected,2544,,,1,7
Carbanak,T1078,Undirected,2545,,,1,8
T1085,T1078,Undirected,2546,,,1,8
T1050,T1085,Undirected,2547,,,1,8
T1089,T1050,Undirected,2549,,,1,8
T1036,T1078,Undirected,2550,,,1,8
T1102,T1050,Undirected,2552,,,1,8
T1089,T1219,Undirected,2553,,,1,8
T1036,T1102,Undirected,2554,,,1,8
T1085,T1219,Undirected,2555,,,1,8
T1078,T1102,Undirected,2556,,,1,8
T1102,T1219,Undirected,2557,,,1,8
Gallmaker,T1193,Undirected,2558,,,1,9
T1173,T1193,Undirected,2559,,,1,9
T1173,T1027,Undirected,2563,,,1,9
T1086,T1064,Undirected,2564,,,1,9
T1064,T1027,Undirected,2565,,,1,9
T1204,T1064,Undirected,2566,,,1,9
T1027,T1002,Undirected,2567,,,1,9
T1064,T1002,Undirected,2568,,,1,9
The,T1193,Undirected,2569,,,1,10
T1203,T1193,Undirected,2570,,,1,10
T1107,T1203,Undirected,2572,,,1,10
T1045,T1204,Undirected,2573,,,1,10
T1497,T1203,Undirected,2574,,,1,10
T1063,T1107,Undirected,2575,,,1,10
T1124,T1045,Undirected,2576,,,1,10
menuPass,T1193,Undirected,2577,,,1,11
menuPass,T1199,Undirected,2578,,,1,11
menuPass,T1078,Undirected,2579,,,1,11
T1086,T1199,Undirected,2581,,,1,11
T1204,T1199,Undirected,2584,,,1,11
T1059,T1038,Undirected,2586,,,1,11
T1064,T1038,Undirected,2589,,,1,11
T1090,T1038,Undirected,2592,,,1,11
T1140,T1053,Undirected,2593,,,1,11
